delegates,voting_power
0x18fa0991cF23a5e2C8E27d226fa3d2490D650c1D,0
0x60c11871CD3e1E88929158cA37Ba1A5e7023235b,0
0x0d1483A48aB1bfEe44C18A1aB4396CC20e7d21bA,0
0x5E4B7352E4ad25404594983bA8BC8c11377E3D02,0
0x904e9285587d2318D602Ce144452F165Be9E5b43,0.124038
0xE892B4720e68789f16BB95Dff97dAEA26fe4A807,1
0x2dbD98DF727278eD078756256cbec0DdcAC17C26,1.47727
0x2834c5D573607e455e5a8494b121Cc271E1De8C2,1.50529
0x11B6928552206969AaA01b593dc247a933C33519,1.4703
0x1BBBF0e8cBBEDD7e103bB5Cda129464737c25Eb7,1.43531
0xFa2C303757fa6FD209245fc9B8605637EA0aA2D6,1.40031
0x214Fec7Af81fDd6CA15Cb2446CD9b1529f76eB68,0.12
0xdDe4027faC409ACF1f9B8222b48862AAEf3c8d1C,0.1
0x6bCeCB5b5283974f900fe75d7778088cd556a925,0.13
0x4748938f47f62dF1aEA6f84FB735E9fed4C7acf3,5.9764
0xc5b844485Acf54014477235b63199959470bCE6c,0.562331
0xEeCB06408c5E7d9aA7055a8574c85e52E07f3f96,0.175175
0x3ED076d14C70211b0c34E0016282116cFE2Cf580,0
0x0364bD75771eDfb48018AF4D37A37BCE9C6ee2C3,0
0x767dA209896ECe6CF0160c4bf9F61333218DbFCe,0
0x78f708247b99ecE813Af5bc8c668279CA88724C8,0
0xC683Fb648cC287ec6F8779CED184912aDE9a9237,0
0x05EbA7eafc93139A7c07867197dF1E6527CF011A,0
0x60aa20E0A888cD49905d224e69EfB9e43FdbaBeF,0
0x5FbdCCE2d5f062058862E8a36A8FCDB95EefCDa0,0
0x79770c3197b0d60804FB97da8aCd8Ff7C58A6791,0
0xAc13A80602cbA8f211026d8A1b97d9B4F4351D6b,0
0x0628bcD53e819d488e83282E136b195B8C3B1400,0
0xD9A15DF8E272cb4c9c6C3fD3DBCE1f3461840993,0.123076
0x73801c9cB72c0352a97dd80b1a62e15666423026,0
0x3E3FED8f88803CAb8A252a4f4f0a2F4E39F408A3,0
0x6046548CaE5C866b5bcac42E0e91D5D0353bb9C7,0.14676
0xf7941399Acc58fE6C1D7071d8D3448CFe654E91a,0.175508
0x8e1bf29ae7291A9b834948c4a5BcFf0C37055E79,0.16506
0xaec89bD0E7Bf47d460b4c307b8b754df139660e9,0.133862
0x0E8F2A807fbd6031FBe7A0024D2792903c70b618,0.140594
0x1d72ADDA551043096E8bC73A4AafCe0Cd34EB289,0.3
0x799Ea3f90954A1074f2C24f6b31EB7cC8972cc83,0.107384
0x9c27F4d259D936c53914782a35D632d0BC5540d9,0.356296
0xaDffFfB96259dba8846c00473a6221fc1c540928,0
0x9786AD4987fFC45Ba54a7a431968C64b4DD31851,10
0x038626472CBDbaa89d8a1A63736238AdbC72466B,0.5
0xA13fEBfB430c5d6d677529Fa9B002981e990C0E7,0
0xCD3B21d330cb14929189cf29929BCe7824a4c463,0.196689
0xd860181906145386Ff4a89c1894198d1bBc422C7,0
0xa140767C7E9635bcC67D77052495D35B95BB9656,0.5
0xe88656A0D2625b5f4ee856082aDE96627f45e137,0
0x00f5ce412b1d4d530bB8eF49952C3d04bE7782AA,0.7
0xf818986a26483D08d78F39850B974aC956dEF110,0
0xE65c7f062440E314f0c3b4A59116557623DCFfB6,0
0x1974D682735b27222a672dD7905e04FfeD6caA67,0
